hedgetargets,DeveloperProfits,ratio,,,,,
"[90.57745287386406, 104.319650524971, 93.37599948129588, 125.75760821181228, 74.86954640977646, 89.28233839714605, 74.48401622130953, 129.038378243916, 80.40633058295214, 71.27973430719959, 85.27980297590706, 130.0960659269332, 110.22453523039184, 154.3355865299149, 107.81046276430156, 79.0008823582337, 136.04554308189847, 145.89997172023342, 89.90949321116165, 142.28913813191033, 119.49023399703691, 171.82715740506234, 144.10123273925547, 179.71062211034575]",-19685460,2.190889639,,,,,
"[88.7532760669734, 104.54874003910358, 93.66794817927277, 94.2598887395132, 69.51102725220323, 107.11806954872534, 81.57174671532877, 98.96272486246302, 77.18805736222495, 103.16061327974886, 47.63466829046108, 138.3501684967239, 82.90026166683974, 117.97761735892078, 74.47331418878595, 99.2896100787329, 112.15839642841621, 156.71669002176915, 93.92547969083132, 184.2589870975149, 122.03172972310357, 149.32430347079992, 101.48368257228812, 162.10309554766187]",-19260373.01,2.160021529,,,,,
"[88.7532760669734, 104.54874003910358, 94.00792165896011, 94.2598887395132, 64.29793828338335, 107.11806954872534, 81.57174671532877, 98.96272486246302, 77.18805736222495, 103.16061327974886, 47.63466829046108, 140.82551080124085, 82.90026166683974, 117.97761735892078, 73.5654396871843, 99.50643906929723, 112.15839642841621, 156.71669002176915, 93.92547969083132, 184.2589870975149, 121.29453699956306, 146.05902893037182, 101.48368257228812, 155.10135463579903]",-19058475.49,2.14898598,,,,,
"[46.47864474368676, 120.66194224083628, 95.31604079627652, 118.36800270798403, 77.47342049639596, 101.45546283914835, 74.45668445655181, 129.4567246671403, 71.95389289700887, 69.13391185078956, 82.45394767915973, 130.32109783760458, 110.28376065301593, 139.46900226989095, 107.92338525385271, 83.11296972086835, 136.04554308189847, 150.7955938915027, 88.84550853853925, 136.0899253164002, 130.9947575181233, 162.9881062841722, 119.1359058846486, 154.04434580136592]",-18480642.43,2.129121171,,,,,
"[46.47864474368676, 101.73410200769739, 95.31604079627652, 118.36800270798403, 77.47342049639596, 101.45546283914835, 74.45668445655181, 122.10835400373387, 71.95389289700887, 69.13391185078956, 82.45394767915973, 130.32109783760458, 110.28376065301593, 139.46900226989095, 107.92338525385271, 83.11296972086835, 136.0453653589353, 150.7955938915027, 93.77242776729622, 136.0899253164002, 130.9947575181233, 162.9881062841722, 119.1359058846486, 154.04434580136592]",-17856166.86,2.092890755,,,,,
"[100.61734413613465, 102.38188250498999, 93.57550141481637, 119.30912843621361, 76.86934533793503, 130.10484589917584, 38.77025287396677, 127.44749850393767, 72.29393860123727, 81.20029977264983, 85.65995984887059, 142.44104704426508, 97.79856483803606, 95.47348642967707, 107.4886586461039, 79.11603431766767, 51.79682999130488, 156.71669002176915, 88.36985643192943, 136.44740888732957, 120.27029947860777, 144.48667788434852, 143.77734300273033, 157.74778238850897]",-17578444.23,2.054799915,,,,,
"[90.5977261454442, 104.319650524971, 93.50512013992757, 125.75760821181228, 74.86954640977646, 89.28233839714605, 74.48401622130953, 129.038378243916, 66.79667314558102, 71.11242217340299, 82.94498985536937, 130.0960659269332, 110.22453523039184, 154.3355865299149, 76.0778755068001, 66.4105527008389, 106.29147272513136, 126.86543135482586, 88.10965429836008, 142.22576509246676, 119.49023399703691, 112.98167924802365, 144.10123273925547, 179.71062211034575]",-17202442.04,2.051732157,,,,,
"[77.17675482274078, 128.2794663532555, 70.88071652783938, 116.60740198407714, 68.92357669402611, 104.47460620149096, 105.40622926749373, 143.62401823844982, 67.5473025844042, 116.52346854880663, 77.3057866515236, 143.07021165156763, 132.21519720927552, 108.41823961990981, 77.6948210835516, 66.14086351776072, 137.2180866215727, 141.39630965266755, 55.048765537800676, 136.23225196292998, 122.06610960371954, 105.36539776678889, 102.78090898915951, 138.3777029565191]",-16826338.11,2.022118969,,,,,
"[82.08439330540284, 94.29940108765766, 89.01735880026126, 93.97607988994143, 69.3149076736449, 104.88574717734487, 92.98251440004537, 143.61530509433007, 86.52386856635363, 70.57105915219415, 94.37924167647114, 129.87287882417363, 99.12247384798155, 122.71386324546208, 106.10233539443033, 76.56965445164012, 127.87708370989053, 144.60889109936048, 92.91966613902186, 136.2801795866693, 123.41681595096212, 121.82671385212056, 100.3604606733032, 154.66963690218742]",-16040208.75,2.001975493,,,,,
"[108.17365523755574, 97.54754811555803, 95.70379052405174, 111.10077583360552, 39.42781774328152, 111.05273872938626, 74.35900892127015, 129.14930926993563, 89.99884254325809, 75.10435971534224, 109.25813199812092, 121.76473611247367, 110.21557187486147, 103.6297758077722, 106.03075411949447, 63.05542254018419, 100.42805214511331, 139.29112507124023, 76.18672966917406, 178.94467358183238, 119.26882144866445, 101.90770982313805, 154.68050194701192, 121.75147857149469]",-15526112.35,1.944649621,,,,,
